№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
1	Отправитель наклеил на письмо	марку	84	2	5	марку 80, марки 1, — 1, штемпель 1, две марки 1	95.238095	0.371434	48.0	2	1737.976190	1573.500000
2	Кошки превосходно видят в	темноте	85	1	4	темноте 78, ночи 5, комнате 1, ночь 1	91.764706	0.505026	68.6	3	1161.623529	1022.376471
3	Перед сном бабушка выключила в комнате	свет	86	0	11	свет 66, телевизор 9, торшер 2, лампу 2, радиоприемник 1, люстру 1, радио 1, лампадку ? 1, темноту 1, электричество 1, приемник 1	76.744186	1.409296	359.7	1	1759.267442	1548.023256
4	Артисты поклонились и ушли за	кулисы	86	0	11	кулисы 66, занавес 7, сцену 4, ширму 2, кулис 1, кулисами 1, как они называются, за кулисы 1, зановесь 1, стол 1, кулису 1, нет ответа 1	76.744186	1.442759	15.0	3	1660.023256	1499.453488
5	Туристы спускались на байдарках по	реке	85	1	10	реке 71, горной реке 4, склону 2, реке  2, речке 1, реке Волге 1, течению реки 1, Оке 1, озеру 1, реке Кура 1	83.529412	1.131367	131.0	2	1478.494118	1225.364706
6	Проводник положил лимон и сахар в	стакан	86	0	7	стакан 41, чай 39, стакан чая 2, кружку 1, чашку 1, стакан с чайем 1, стакан, чай 1	47.674419	1.451959	72.8	2	1012.848837	830.476744
7	Гости положили грязные тарелки в	раковину	86	0	10	раковину 38, мойку 26, посудомойку 11, посудомоечную машину 4, шкаф 2, машину посудомоечную 1, стопку 1, умывальник 1, мусор 1, рукомойник 1	44.186047	2.127585	13.9	4	1535.616279	1392.360465
8	Учитель написал пример мелом на	доске	86	0	3	доске 84, плитке 1, потолке 1	97.674419	0.182606	67.1	2	989.081395	877.244186
9	После ужина хозяйка помыла	посуду	85	1	7	посуду 78, кастрюлю 2, ложку 1, окно 1, полы 1, тарелки 1, пол 1	91.764706	0.618081	31.3	3	1719.047059	1547.505882
10	В избе старуха топила	печь	86	0	3	печь 73, печку 12, - 1	84.883721	0.671884	32.6	1	1797.941860	1612.930233
11	Моя маленькая сестрёнка увлекается лепкой из	пластилина	85	1	4	пластилина 33, глины 30, пластелина 21, - 1	38.823529	1.633975	2.2	4	1489.376471	1311.105882
12	Войдя в квартиру, жилец плотно закрыл	дверь	86	0	9	дверь 73, двери 3, ставни 3, окна 2, окно 1, плотно 1, замок 1, шторку 1, входную дверь 1	84.883721	1.038277	450.8	1	1619.662791	1493.860465
13	На новый год мы всегда украшаем	елку	86	0	8	елку 78, елочку 2, квартиру 1, игрушками 1, дом 1, комнату 1, новогоднюю елку 1, стол 1	90.697674	0.702295	22.3	2	1865.337209	1737.441860
14	Певица высушила волосы с помощью	фена	86	0	3	фена 84, духовки 1, утюга 1	97.674419	0.182606	2.0	2	1838.965116	1686.593023
15	Бегун завязал на ботинках 	шнурки	86	0	6	шнурки 76, шнурок 6, узел 1, кроссовки 1, шнурочки 1, бантик 1	88.372093	0.724494	7.5	2	2021.360465	1808.430233
16	Помолившись, старушка осторожно задула	свечу	86	0	7	свечу 66, свечку 14, лампаду 2, огонь 1, свет 1, лампу 1, нет ответа 1	76.744186	1.144486	31.6	2	1809.558140	1537.662791
17	Все гости дружно уселись за	стол	86	0	6	стол 72, столом 10, обед 1, компьютер 1, столы 1, круглым столом 1	83.720930	0.874475	402.5	1	1271.430233	1107.965116
18	Бабушка купила таблетки от головной боли в	аптеке	84	2	7	аптеке 78, магазине 1, упаковке 1, лесу 1, каплях/аптеке 1, - 1, нет ответа 1	92.857143	0.555873	15.1	3	1259.559524	1151.726190
19	Девочка гуляла по лужам и промочила	ноги	86	0	10	ноги 69, ножки 6, ботинки 3, туфли 2, сандали 1, обувь 1, сапоги 1, руки 1, живот 1, сандалии 1	80.232558	1.266348	459.2	2	2251.720930	2074.372093
20	В семь лет дети начинают ходить в	школу	86	0	4	школу 83, детский сад, школу 1, кружок 1, детский сад 1	96.511628	0.273610	316.0	2	930.511628	833.151163
21	Садовница поливает высохшее	дерево	84	2	13	дерево 41, растение 18, цветы 12, растения 3, деревце 2, цветы, дерево 1, поле 1, яблоко 1, - 1, цветы, клумбу 1, клумбы 1, деревья 1, кусты 1	48.809524	2.291214	171.9	3	2682.833333	2498.011905
22	Летом мальчик катался на двухколёсном	велосипеде	86	0	8	велосипеде 76, самокате 4, велолсипеде 1, тракторе 1, тренажере 1, влосипеде 1, велосепеде 1, дереве 1	88.372093	0.811817	23.1	5	2082.511628	1916.848837
23	Художник точил цветной	карандаш	85	1	4	карандаш 82, мелок 1, карндаш 1, металл 1	96.470588	0.276223	46.6	3	1783.823529	1663.435294
24	На стене висела картина в бронзовой	раме	86	0	8	раме 45, оправе 21, рамке 15, оправой 1, рамой 1, подставке 1, шкатулке 1, иллюстрацией 1	52.325581	1.798644	21.2	2	2448.546512	2143.116279
25	Выпускница надела босоножки на высоких 	каблуках	86	0	2	каблуках 85, шпильках 1	98.837209	0.091402	16.3	3	1764.779070	1471.616279
26	На экзамене студент допустил досадную	ошибку	86	0	6	ошибку 74, оплошность 7, описку 2, оплошность ошибку 1, промашку 1, оговорку 1	86.046512	0.831485	104.4	3	1955.279070	1771.802326
27	Начальник резко высказал своё	мнение	86	0	12	мнение 60, недовольство 8, неудовольствие 6, неодобрение 3, фе 2, работникам 1, отношение 1, - 1, неудовольствия 1, пожелание 1, негодование 1, отвращение 1	69.767442	1.767217	228.4	3	1904.325581	1749.918605
28	В новом семестре студенты приступили к изучению испанского	языка	86	0	4	языка 83, язяка 1, уха 1, язвка 1	96.511628	0.273610	324.9	3	1870.453488	1599.465116
29	Часто дети богатых родителей учатся в частных	школах	85	1	13	школах 65, колледжах 4, гимназиях 3, заведениях 3, университетах 2, пансионатах 1, учреждениях 1, вузах 1, учереждениях 1, пансионах 1, школах или эмм колледжах 1, учебных заведениях 1, коллеждах 1	76.470588	1.574524	316.0	2	2037.835294	1854.694118
