№	Context	Dominant response	Number of completions	Ommitted completions or no completion	Number of unique responses	Alternative completions	Percentage of ending agreement %EA	H-statistic	Frequency (ipm)	Number of syllables	ART	ART'
1	Отправитель наклеил на письмо	марку	170	2	8	марку 160, марки 4, штемпель 1, штамп 1, две марки 1, почтовую, марку 1, — 1, почтовые марки 1	94.117647	0.471106	48.0	2	1697.652941	1536.941176
2	Кошки превосходно видят в	темноте	171	1	6	темноте 159, ночи 8, темонте 1, ночь 1, штанах 1, комнате 1	92.982456	0.477803	68.6	3	1047.994152	944.011696
3	Перед сном бабушка выключила в комнате	свет	172	0	17	свет 137, телевизор 12, лампу 4, светильник 3, утюг 2, ночник 2, торшер 2, музыку 1, темноту 1, радио 1, обогреватель 1, радиоприемник 1, люстру 1, лампадку ? 1, электричество 1, телефизор 1, приемник 1	79.651163	1.413446	359.7	1	1644.447674	1433.325581
4	Артисты поклонились и ушли за	кулисы	172	0	17	кулисы 131, сцену 14, занавес 11, пивом 2, ширму 2, кулис 1, актером 1, нет ответа 1, как они называются, за кулисы 1, навес 1, кулису 1, дом 1, зановесь 1, дверь 1, рамки 1, стол 1, кулисами 1	76.162791	1.515014	15.0	3	1551.087209	1398.220930
5	Туристы спускались на байдарках по	реке	171	1	17	реке 138, горной реке 6, склону 5, речке 4, порогам 2, течению 2, Волге 2, озеру 2, реке  2, реке Кура 1, водопаду 1, горной реке  1, Оке 1, каналу 1, течению реки 1, сплаву 1, реке Волге 1	80.701754	1.417292	131.0	2	1434.602339	1238.093567
6	Проводник положил лимон и сахар в	чай	172	0	15	чай 82, стакан 61, чашку 10, кружку 5, кофе 3, стакан чая 2, столешницу 1, чашечку 1, - 1, стакан, чай 1, бокал 1, стаканчик 1, шкафу 1, вот в эту выемку между полочками, где полотенца складываешь на ночь 1, стакан с чайем 1	47.674419	1.992090	106.8	1	1115.343023	959.000000
7	Гости положили грязные тарелки в	раковину	172	0	13	раковину 98, мойку 34, посудомойку 22, посудомоечную машину 6, шкаф 4, машину 1, умывальник 1, мусор 1, рукомойник 1, машину посудомоечную 1, стопку 1, поднос 1, деньги 1	56.976744	1.944680	13.9	4	1457.156977	1319.680233
8	Учитель написал пример мелом на	доске	171	1	4	доске 168, плитке 1, потолке 1, окне 1	98.245614	0.155225	67.1	2	934.157895	822.257310
9	После ужина хозяйка помыла	посуду	170	2	17	посуду 139, пол 7, тарелки 5, стол 3, окно 2, полы 2, кастрюлю 2, NR 1, тарелку 1, руки 1, раму 1, ложку 1, цветы 1, шторы 1, ребенка 1, окна 1, ванную 1	81.764706	1.341457	31.3	3	1645.858824	1489.882353
10	В избе старуха топила	печь	172	0	9	печь 145, печку 18, баню 3, лед 1, - 1, избу 1, соседей 1, масло 1, котят 1	84.302326	0.909402	32.6	1	1701.011628	1530.581395
11	Моя маленькая сестрёнка увлекается лепкой из	глины	171	1	10	глины 89, пластилина 46, пластелина 29, пельменей 1, капусты 1, теста 1, полимерной глины 1, - 1, стол 1, песка 1	52.046784	1.737703	18.4	2	1314.298246	1149.912281
12	Войдя в квартиру, жилец плотно закрыл	дверь	172	0	13	дверь 146, окна 6, двери 4, окно 3, ставни 3, шторы 3, слив 1, занавески 1, рот 1, плотно 1, замок 1, шторку 1, входную дверь 1	84.883721	1.103655	450.8	1	1542.325581	1404.790698
13	На новый год мы всегда украшаем	елку	171	1	15	елку 138, дом 10, квартиру 5, комнату 4, елочку 2, ель 2, стол 2, 819 1, двери 1, зал 1, баню 1, игрушками 1, хату 1, новогоднюю елку 1, дверь 1	80.701754	1.337120	22.3	2	1753.830409	1636.070175
14	Певица высушила волосы с помощью	фена	172	0	6	фена 163, полотенца 5, утюга 1, сушилки 1, ветра 1, духовки 1	94.767442	0.394565	2.0	2	1696.866279	1540.511628
15	Бегун завязал на ботинках 	шнурки	172	0	10	шнурки 153, шнурок 6, узел 3, бантик 3, шнурочки 2, банты 1, бантики 1, кроссовки 1, шнуровку 1, узлы 1	88.953488	0.813475	7.5	2	1907.825581	1726.337209
16	Помолившись, старушка осторожно задула	свечу	172	0	13	свечу 116, свечку 22, свечи 20, лампаду 3, свечки 3, огонь 1, - 1, свет 1, лампу 1, лучину 1, кадило 1, нет ответа 1, свечь 1	67.441860	1.672883	31.6	2	1695.279070	1478.389535
17	Все гости дружно уселись за	стол	172	0	6	стол 153, столом 14, столы 2, компьютер 1, обед 1, круглым столом 1	88.953488	0.649036	402.5	1	1172.912791	1030.784884
18	Бабушка купила таблетки от головной боли в	аптеке	169	3	11	аптеке 155, магазине 5, упаковке 1, лесу 1, каплях/аптеке 1, - 1, спине 1, пятницу 1, апетке 1, нет ответа 1, 12 вечера 1	91.715976	0.658815	15.1	3	1237.201183	1150.000000
19	Девочка гуляла по лужам и промочила	ноги	172	0	17	ноги 124, ботинки 12, ножки 7, носки 5, сапоги 5, обувь 4, сандали 3, туфли 3, сандалии 1, босоножки 1, руки 1, живот 1, шорты 1, кроссовки 1, сапожки 1, вещи 1, колготки 1	72.093023	1.811611	459.2	2	2062.889535	1917.465116
20	В семь лет дети начинают ходить в	школу	172	0	10	школу 156, сад 5, детский сад 4, туалет 1, ясли 1, детский сад, школу 1, тапочках 1, колготках 1, кружок 1, садик, школу 1	90.697674	0.704565	316.0	2	1021.668605	936.058140
